paper_id,title,year,venue,peer_review_status,doi,url,reason
wachinger_2024_prompts,"Prompts, Pearls, Imperfections: Comparing ChatGPT and a Human Researcher in Qualitative Data Analysis",2024,"Qualitative Health Research. Online 2024;35(9), 2025 issue.",not reported,10.1177/10497323241244669,https://doi.org/10.1177/10497323241244669,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
zhao_liu_2025_confidence_diversity,A Confidence–Diversity Framework for Calibrating AI Judgement in Accessible Qualitative Coding Tasks,2025,arXiv:2508.02029v2,not peer reviewed / peer review not verified,10.48550/arxiv.2508.02029,https://arxiv.org/abs/2508.02029,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
xu_2025_coti,A Multi-Agent Large Language Model Framework for Automated Qualitative Analysis,2025,arXiv:2512.16063v1,not peer reviewed / peer review not verified,10.48550/arxiv.2512.16063,https://arxiv.org/abs/2512.16063,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
flaherty_oliver_2025_positive_spin,A Positive Spin: Large Language Models Can Help Directors Evaluate Programs Through Their Patients' Own Words,2025,Pain Reports 10(1):e1219,peer reviewed,10.1097/PR9.0000000000001219,https://doi.org/10.1097/PR9.0000000000001219,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
yue_2025_chatgpt_grounded_theory,A Practical Guide and Assessment on Using ChatGPT to Conduct Grounded Theory: Tutorial,2025,Journal of Medical Internet Research 27:e70122,peer reviewed,10.2196/70122,https://doi.org/10.2196/70122,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
bennis_2025_nine_models,Advancing AI-driven thematic analysis: a comparative study of nine generative models on Cutaneous Leishmaniasis data,2025,BMC Medical Informatics and Decision Making. 2025;25:124.,not reported,10.1186/s12911-025-02961-5,https://doi.org/10.1186/s12911-025-02961-5,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
flanders_2025_few_shot_thematic,AI Coding with Few-Shot Prompting for Thematic Analysis,2025,arXiv:2504.07408v1,not peer reviewed / peer review not verified,10.48550/arxiv.2504.07408,https://arxiv.org/abs/2504.07408,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
sulaiman_2025_laca_hospitals,"Analyzing Patient Complaints in Web-Based Reviews of Private Hospitals in Selangor, Malaysia, Using Large Language Model–Assisted Content Analysis: Mixed Methods Study",2025,JMIR Formative Research 9:e69075,peer reviewed,10.2196/69075,https://doi.org/10.2196/69075,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
cook_et_al_2025_ai_qda_promises_pitfalls,"Artificial Intelligence to Support Qualitative Data Analysis: Promises, Approaches, Pitfalls",2025,Academic Medicine 100(10): 1134–1149,peer reviewed,10.1097/ACM.0000000000006134,https://academic.oup.com/academicmedicine/article/100/10/1134/8361603,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
hila_hauser_2025_deductive_cap,Assessing the Reliability of Large Language Models for Deductive Qualitative Coding: A Comparative Study of ChatGPT Interventions,2025,arXiv:2507.14384v1,not peer reviewed / peer review not verified,10.48550/arxiv.2507.14384,https://arxiv.org/abs/2507.14384,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
sun_liu_2025_autocoding_dialogue,Auto-Coding Collaborative Dialogue from Classrooms with Open LLMs Using Zero-Short Prompting,2025,"Proceedings of the International Conference on AI Research (ICAIR 2025), 608–615",peer reviewed,10.34190/icair.5.1.4278,https://doi.org/10.34190/icair.5.1.4278,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
zhao_liu_2025_complex_confidence_diversity,Automated Quality Assessment for LLM-Based Complex Qualitative Coding: A Confidence-Diversity Framework,2025,arXiv:2508.20462v2,not peer reviewed / peer review not verified,10.48550/arxiv.2508.20462,https://arxiv.org/abs/2508.20462,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
hairston_et_al_2025_xylazine_thematic,Automating inductive thematic analyses of health content using large language models: a proof-of-concept study using social media data,2025,JAMIA Open 8(5): ooaf102,peer reviewed,10.1093/jamiaopen/ooaf102,https://doi.org/10.1093/jamiaopen/ooaf102,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
sankaranarayanan_et_al_2025_ta_mas,Automating Thematic Analysis with Multi-Agent LLM Systems,2025,OSF Preprints,not peer reviewed / peer review not verified,10.35542/osf.io/kq8zh_v1,https://doi.org/10.35542/osf.io/kq8zh_v1,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
osian_et_al_2025_pfd_toolkit,Automating Thematic Review of Prevention of Future Deaths Reports: Replicating the ONS Child Suicide Study using Large Language Models,2025,arXiv:2507.20786v1,not peer reviewed / peer review not verified,10.48550/arxiv.2507.20786,https://arxiv.org/abs/2507.20786,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
baroud_2025_beyond_deidentification,Beyond De-Identification: A Structured Approach for Assessing and Reducing Privacy Risks in Clinical Text,2025,PrivateNLP 2025.,not reported,10.18653/v1/2025.privatenlp-main.7,https://aclanthology.org/2025.privatenlp-main.7/,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
rizvi_et_al_2025_nuanced_ableism,Beyond Keywords: Evaluating Large Language Model Classification of Nuanced Ableism,2025,arXiv:2505.20500v1,not peer reviewed / peer review not verified,10.48550/arxiv.2505.20500,https://arxiv.org/abs/2505.20500,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
ghali_et_al_2025_beyondwords,BEYONDWORDS is All You Need: Agentic Generative AI based Social Media Themes Extractor,2025,arXiv:2503.01880v1,not peer reviewed / peer review not verified,10.48550/arxiv.2503.01880,https://arxiv.org/abs/2503.01880,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
de_paoli_2025_turing_qualitative,Can machines perform a qualitative data analysis? Reading the debate with Alan Turing,2025,arXiv:2512.04121v1,not peer reviewed / peer review not verified,10.48550/arxiv.2512.04121,https://arxiv.org/abs/2512.04121,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
mackenzie_et_al_2025_canary,Canary in the Mine: An LLM Augmented Survey of Disciplinary Complaints to the Ordre des ingénieurs du Québec (OIQ),2025,arXiv:2506.19775v1,not peer reviewed / peer review not verified,10.48550/arxiv.2506.19775,https://arxiv.org/abs/2506.19775,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
munjita_et_al_2025_bedbugs,"Citizen science in public health: Social Media insights into bedbug infestations, control methods and psychosocial effects in Lusaka, Zambia",2025,Digital Health 11,peer reviewed,10.1177/20552076251390559,https://doi.org/10.1177/20552076251390559,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
koh_et_al_2025_patient_complaints,Classifying Patient Complaints Using Artificial Intelligence-Powered Large Language Models: Cross-Sectional Study,2025,Journal of Medical Internet Research 27: e74231,peer reviewed,10.2196/74231,https://doi.org/10.2196/74231,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
rodriguez_triana_2025_code_aware,Code-Aware LLM Prompting in Deductive Qualitative Analysis: A Study in Multi-framework Analysis of Learning Designs,2025,"20th European Conference on Technology Enhanced Learning (EC-TEL 2025), LNCS 16063, 427–441",peer reviewed,10.1007/978-3-032-03870-8_29,https://doi.org/10.1007/978-3-032-03870-8_29,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
de_paoli_mathis_2025_codebook_reduction_saturation,Codebook Reduction and Saturation: Novel observations on Inductive Thematic Saturation for Large Language Models and initial coding in Thematic Analysis,2025,arXiv:2503.04859v1,not peer reviewed,10.48550/arXiv.2503.04859,https://arxiv.org/abs/2503.04859,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
lin_2025_caila,Collaborative AI for Qualitative Analysis: Bridging AI and Human Expertise for Scalable Analysis,2025,"Joint Proceedings of LAK 2025 Workshops, CEUR-WS Vol. 3995, 205–228",peer reviewed workshop paper,not reported,https://ceur-ws.org/Vol-3995/LLMQUAL_paper4.pdf,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
simon_et_al_2025_human_mas_consistency,Comparing a Human’s and a Multi-Agent System’s Thematic Analysis: Assessing Qualitative Coding Consistency,2025,Lecture Notes in Computer Science,published Springer LNCS chapter; exact peer-review procedure not independently verified,10.1007/978-3-031-98420-4_5,https://doi.org/10.1007/978-3-031-98420-4_5,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
zambrano_et_al_2025_data_theory_codebook,Data Plus Theory Equals Codebook: Leveraging LLMs for Human-AI Codebook Development,2025,OSF Preprints,not peer reviewed; no archival venue verified,10.35542/osf.io/4wyqc_v1,https://osf.io/4wyqc/,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
balt_et_al_2025_psychosocial_autopsy,Deductively coding psychosocial autopsy interview data using a few-shot learning large language model,2025,Frontiers in Public Health 13:1512537,peer reviewed,10.3389/fpubh.2025.1512537,https://doi.org/10.3389/fpubh.2025.1512537,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
gao_et_al_2025_mindcoder,Efficiency with Rigor! A Trustworthy LLM-powered Workflow for Qualitative Data Analysis,2025,arXiv:2501.00775v3,not peer reviewed / venue not verified,10.48550/arXiv.2501.00775,https://arxiv.org/abs/2501.00775,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
parfenova_et_al_2025_emergent_convergence,Emergent Convergence in Multi-Agent LLM Annotation,2025,"BlackboxNLP 2025, pages 206–225",peer reviewed workshop paper in ACL Anthology proceedings,10.18653/v1/2025.blackboxnlp-1.12,https://aclanthology.org/2025.blackboxnlp-1.12/,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
hara_et_al_2025_or_nurses,Emotional analysis of operating room nurses in acute care hospitals in Japan: insights using ChatGPT,2025,BMC Nursing 24:30,peer reviewed,10.1186/s12912-024-02655-9,https://doi.org/10.1186/s12912-024-02655-9,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
sakaguchi_2025_japanese,Evaluating ChatGPT in Qualitative Thematic Analysis With Human Researchers in the Japanese Clinical Context and Its Cultural Interpretation Challenges,2025,Journal of Medical Internet Research. 2025;27:e71521.,not reported,10.2196/71521,https://www.jmir.org/2025/1/e71521,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
mehta_et_al_2025_genai_qualitative,Evaluation of large language models within GenAI in qualitative research,2025,Scientific Reports 15:34993,peer reviewed,10.1038/s41598-025-18969-w,https://doi.org/10.1038/s41598-025-18969-w,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
liu_2025_hybrid_codebooks_whimc,Exploring Differences Between Hybrid GPT-Human and Human-Created Qualitative Codebooks in an Educational Game,2025,"International Conference on Quantitative Ethnography 2025, CCIS",peer reviewed,10.1007/978-3-032-12229-2_13,https://doi.org/10.1007/978-3-032-12229-2_13,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
zhang_et_al_2025_qualigpt_inductive_deductive,Exploring Inductive and Deductive Qualitative Coding with AI: Investigating Inter-Rater Reliability between Large Language Model and Human Coders,2025,"Human-Computer Interaction & Emerging Technologies, AHFE 2025, volume 195, pages 142–152",peer reviewed proceedings paper,10.54941/ahfe1006232,https://doi.org/10.54941/ahfe1006232,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
jowsey_2025_frankenstein,"Frankenstein, thematic analysis and generative AI",2025,"PLOS ONE, 20(9), e0330217.",peer reviewed,10.1371/journal.pone.0330217,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0330217,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
shah_et_al_2025_inductive_deductive_re,From Inductive to Deductive: LLMs-Based Qualitative Data Analysis in Requirements Engineering,2025,arXiv:2504.19384v1,not peer reviewed,10.48550/arXiv.2504.19384,https://arxiv.org/abs/2504.19384,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
qiao_et_al_2025_maternal_health,Generative AI for thematic analysis in a maternal health study: coding semistructured interviews using large language models,2025,Applied Psychology: Health and Well-Being 17(3):e70038,peer reviewed,10.1111/aphw.70038,https://doi.org/10.1111/aphw.70038,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
zhang_et_al_2025_ai_followup_interviews,"Harnessing the Power of AI in Qualitative Research: Role Assignment, Engagement, and User Perceptions of AI-Generated Follow-Up Questions in Semi-Structured Interviews",2025,arXiv:2509.12709v1,not peer reviewed; no archival venue identified in the inspected version,10.48550/arXiv.2509.12709,https://arxiv.org/abs/2509.12709,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
parkington_et_al_2025_human_vs_llm_mental_health,Human vs. LLM-Based Thematic Analysis for Digital Mental Health Research: Proof-of-Concept Comparative Study,2025,arXiv:2507.08002v1,not peer reviewed in the inspected version,10.48550/arXiv.2507.08002,https://arxiv.org/abs/2507.08002,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
nam_et_al_2025_idealign,IDEAlign: Comparing Large Language Models to Human Experts in Open-ended Interpretive Annotations,2025,arXiv:2509.02855v1,not peer reviewed in the inspected version,10.48550/arXiv.2509.02855,https://arxiv.org/abs/2509.02855,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
borse_2025_inter_rater_reliability,Investigation of the Inter-Rater Reliability between Large Language Models and Human Raters in Qualitative Analysis,2025,arXiv (physics.ed-ph); comments identify Physics Education Research Conference 2025,preprint; peer review not verified,10.48550/arxiv.2508.14764,https://arxiv.org/abs/2508.14764,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
castellanos_et_al_2025_thematic_summarization,Large Language Models for Thematic Summarization in Qualitative Health Care Research: Comparative Analysis of Model and Human Performance,2025,JMIR AI 4:e64447,peer reviewed,10.2196/64447,https://doi.org/10.2196/64447,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
schroeder_2025_uses_tensions_intentions,"Large Language Models in Qualitative Research: Uses, Tensions, and Intentions",2025,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,peer reviewed,10.1145/3706598.3713120,https://doi.org/10.1145/3706598.3713120,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
montes_2025_prompting,"Large Language Models in Thematic Analysis: Prompt Engineering, Evaluation, and Guidelines",2025,arXiv:2510.18456v1.,preprint/manuscript; peer review not verified,10.48550/arxiv.2510.18456,https://arxiv.org/abs/2510.18456,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
wen_2025_charity_thematic_analysis,Leveraging Large Language Models for Thematic Analysis: A Case Study in the Charity Sector,2025,"AI & Society (volume 41 issue year 2026, online-first 2025)",peer reviewed,10.1007/s00146-025-02487-4,https://doi.org/10.1007/s00146-025-02487-4,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
na_feng_2025_dialogue_coding,LLM-Assisted Automated Deductive Coding of Dialogue Data: Leveraging Dialogue-Specific Characteristics to Enhance Contextual Understanding,2025,"Artificial Intelligence in Education (AIED 2025), LNCS 15880, 248–262",peer reviewed,10.1007/978-3-031-98459-4_18,https://doi.org/10.1007/978-3-031-98459-4_18,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
ornelas_et_al_2025_llm_assisted_ta_workshop,"LLM-Assisted Thematic Analysis: Opportunities, Limitations, and Recommendations",2025,arXiv:2511.14528v1,not peer reviewed in the inspected version,10.48550/arXiv.2511.14528; artifact DOI 10.5281/zenodo.17443995,https://arxiv.org/abs/2511.14528,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
oksanen_et_al_2025_llmcode,LLMCode: Evaluating and Enhancing Researcher-AI Alignment in Qualitative Analysis,2025,arXiv:2504.16671v1,not peer reviewed; manuscript says “submitted to ACM”,10.48550/arXiv.2504.16671,https://arxiv.org/abs/2504.16671,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
pi_2025_logos,LOGOS: LLM-driven End-to-End Grounded Theory Development and Schema Induction for Qualitative Research,2025,arXiv:2509.24294,not peer reviewed / peer review not verified,10.48550/arxiv.2509.24294,https://arxiv.org/abs/2509.24294,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
wen_et_al_2025_neo_grounded_theory,Neo-Grounded Theory: A Methodological Innovation Integrating High-Dimensional Vector Clustering and Multi-Agent Collaboration for Qualitative Research,2025,arXiv:2509.25244v1,not peer reviewed,10.48550/arXiv.2509.25244,https://arxiv.org/abs/2509.25244,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
cevik_abu_zidan_2025_efast_llm_thematic_analysis,Online extended focused assessment with sonography for trauma (EFAST) course enhanced knowledge and perceived confidence among medical trainees during the COVID-19 pandemic disaster,2025,World Journal of Emergency Surgery 20:30,peer reviewed,10.1186/s13017-025-00604-8,https://doi.org/10.1186/s13017-025-00604-8,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
bedemariam_2025_judges,Potential and Perils of Large Language Models as Judges of Unstructured Textual Data,2025,arXiv:2501.08167.,preprint/manuscript; peer review not verified,10.48550/arxiv.2501.08167,https://arxiv.org/abs/2501.08167,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
crocker_2025_extension_feedback,Proof of Concept: Leveraging Large Language Models for Qualitative Analysis of Participant Feedback,2025,"Journal of Extension 63(1), Article 16",peer reviewed,10.34068/joe.63.01.16,https://open.clemson.edu/joe/vol63/iss1/16/,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
liu_et_al_2025_qualitative_coding_gpt4,Qualitative Coding with GPT-4: Where it Works Better,2025,Journal of Learning Analytics 12(1):169–185,peer reviewed,10.18608/jla.2025.8575,https://doi.org/10.18608/jla.2025.8575,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
abramson_et_al_2025_qualitative_research_ai_pragmatic,"Qualitative Research in an Era of AI: A Pragmatic Approach to Data Analysis, Workflow, and Computation",2025,arXiv preprint; accepted/forthcoming in Annual Review of Sociology 52 (2026),"accepted/forthcoming; inspected preprint, not final version of record",10.31235/osf.io/7bsgy_v4 (OSF version; journal DOI not yet assigned),https://arxiv.org/abs/2509.12503,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
wiebe_et_al_2025_hhitl_thematic_analysis,Qualitative Research in the Age of LLMs: A Human-in-the-Loop Approach to Hybrid Thematic Analysis,2025,"Proceedings of the 19th International Conference of the Learning Sciences (ICLS 2025), pages 1123–1131",peer reviewed proceedings paper,10.22318/icls2025.322165,https://repository.isls.org/handle/1/11227,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
vikan_2025_reflexive,Reflecting on LLM Support in Reflexive Thematic Analysis: An Exploratory Study,2025,"Qualitative Health Research. Online 2025;36(2-3):191-205, 2026 issue.",not reported,10.1177/10497323251365211,https://pmc.ncbi.nlm.nih.gov/articles/PMC12949038/,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
zhang_et_al_2025_rosannotator,ROSAnnotator: A Web Application for ROSBag Data Analysis in Human-Robot Interaction,2025,"ACM/IEEE HRI 2025, pages 1099–1103",peer reviewed,10.1109/HRI61500.2025.10974254,https://doi.org/10.1109/HRI61500.2025.10974254,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
kapania_2025_simulacrum_stories,Simulacrum of Stories: Examining Large Language Models as Qualitative Research Participants,2025,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,peer reviewed,10.1145/3706598.3713220,https://doi.org/10.1145/3706598.3713220,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
sakib_et_al_2025_shortcut_sdoh,Spurious Correlations and Beyond: Understanding and Mitigating Shortcut Learning in SDOH Extraction with Large Language Models,2025,arXiv:2506.00134v1,not established,not assigned,https://arxiv.org/abs/2506.00134,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
de_paoli_fawzi_2025_tallmesh,TALLMesh: A Simple Application for Performing Thematic Analysis with Large Language Models,2025,arXiv:2504.13892v1,not established; manuscript labeled Draft,not assigned,https://arxiv.org/abs/2504.13892,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
zhou_et_al_2025_llm_qualitative_nursing_scoping_review,The Application of Large Language Models in Qualitative Nursing Research: A Scoping Review,2025,Nursing Outlook 73(6): 102544,peer reviewed,10.1016/j.outlook.2025.102544,https://www.sciencedirect.com/science/article/pii/S0029655425001976,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
thematic_lm_2025,Thematic-LM: A Multi-Agent Large Language Model Framework for Enhancing Automated Thematic Analysis,2025,"The Web Conference 2025, 649–658.",peer reviewed,10.1145/3696410.3714595,https://dl.acm.org/doi/10.1145/3696410.3714595,"Inventory path is proceedings front matter/table of contents, not a paper-level PDF; public author-copy download returned HTTP 403."
shen_2025_graduate_school_ai,Understanding Graduate School Through AI: A Scalable Approach to Thematic Coding,2025,International Journal of Qualitative Methods,peer reviewed,10.1177/16094069251395943,https://doi.org/10.1177/16094069251395943,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
than_et_al_2025_future_of_coding_llms,Updating “The Future of Coding”: Qualitative Coding with Generative Large Language Models,2025,"Sociological Methods & Research, online first, pages 1–40",peer reviewed,10.1177/00491241251339188,https://doi.org/10.1177/00491241251339188,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
king_et_al_2025_frontier_privacy_policies,User Privacy and Large Language Models: An Analysis of Frontier Developers’ Privacy Policies,2025,"Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society 8(2): 1465–1477",peer reviewed,10.1609/aies.v8i2.36646,https://doi.org/10.1609/aies.v8i2.36646,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
gustavsen_et_al_2025_generative_ai_qualitative_coding,Using Generative AI for Qualitative Coding,2025,Library Trends 73(3): 213–242,peer reviewed,10.1353/lib.2025.a961193,https://muse.jhu.edu/article/961193,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
relins_et_al_2025_police_vulnerability,Using Instruction-Tuned Large Language Models to Identify Indicators of Vulnerability in Police Incident Narratives,2025,Journal of Quantitative Criminology 41(4): 647–684,peer reviewed,10.1007/s10940-025-09611-z,https://doi.org/10.1007/s10940-025-09611-z,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
shanwetter_levit_saban_2025_cancer_llm_qualitative,When Investigator Meets Large Language Models: A Qualitative Analysis of Cancer Patient Decision-Making Journeys,2025,npj Digital Medicine 8: 336,peer reviewed,10.1038/s41746-025-01747-3,https://doi.org/10.1038/s41746-025-01747-3,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
li_2025_llms_fall_short,When LLMs Fall Short in Deductive Coding: Model Comparisons and Human–AI Collaboration Workflow Design,2025,arXiv:2512.21041,not peer reviewed / peer review not verified,10.48550/arxiv.2512.21041,https://arxiv.org/abs/2512.21041,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
pi_2026_landscape,A Landscape of Computational Approaches to Qualitative Analysis,2026,arXiv:2601.11739v1.,preprint/manuscript; peer review not verified,10.48550/arxiv.2601.11739,https://arxiv.org/abs/2601.11739,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
bai_2026_three_datasets,A Multimodule Large Language Model Pipeline for Inductive Thematic Analysis Across Three Health Care Interview Datasets,2026,JMIR Medical Informatics,not reported,10.2196/96129,https://medinform.jmir.org/2026/1/e96129,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
ta_0025_2026_muda,Adapting quality function deployment to translate patient feedback into prioritized technical requirements for healthcare artificial intelligence.,2026,Scientific reports,peer reviewed,10.1038/s41598-026-36550-x,https://doi.org/10.1038/s41598-026-36550-x,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
fc_16_2026_mutanana,Addressing the Efficacy of Quality in Qualitative Research: A Review of the Current Discourse,2026,"International Journal of Qualitative Methods, volume 25",peer reviewed,10.1177/16094069261432368,https://doi.org/10.1177/16094069261432368,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
grover_2026_preferences,Advancing the science of qualitative patient preference assessment using large language models,2026,PLOS Digital Health. 2026;5(3):e0001263.,not reported,10.1371/journal.pdig.0001263,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0001263,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
ta_0029_2026_wu,"Advantages, limitations, and ethical concerns of AI-assisted qualitative research in nursing: insights from a human–AI comparative thematic analysis",2026,BMC Nursing,peer reviewed,10.1186/s12912-026-05085-x,https://doi.org/10.1186/s12912-026-05085-x,No preferred paper-level PDF was present in the inventoried local source roots at organization time.
