reviewer_id,packet_id,run_index,pair_id,candidate_a,candidate_b,pairwise_choice,a_evidential_support,b_evidential_support,a_voice_context,b_voice_context,a_negative_case,b_negative_case,a_contract_fit,b_contract_fit,a_codebook_usability,b_codebook_usability,a_disposition,b_disposition,serious_error_flags,confidence,requested_expertise,rationale,review_status
,syn_agyw_01,2,syn_agyw_01_r2_p06,B4,B2,,,,,,,,,,,,,,,,,,not_started
,syn_agyw_01,2,syn_agyw_01_r2_p07,B5,B2,,,,,,,,,,,,,,,,,,not_started
,syn_agyw_01,2,syn_agyw_01_r2_p08,B3,B4,,,,,,,,,,,,,,,,,,not_started
,syn_agyw_01,2,syn_agyw_01_r2_p09,B3,B5,,,,,,,,,,,,,,,,,,not_started
,syn_agyw_01,2,syn_agyw_01_r2_p10,B4,B5,,,,,,,,,,,,,,,,,,not_started
,syn_agyw_01,3,syn_agyw_01_r3_p01,B2,B1,,,,,,,,,,,,,,,,,,not_started
,syn_agyw_01,3,syn_agyw_01_r3_p02,B3,B1,,,,,,,,,,,,,,,,,,not_started
,syn_agyw_01,3,syn_agyw_01_r3_p03,B4,B1,,,,,,,,,,,,,,,,,,not_started
,syn_agyw_01,3,syn_agyw_01_r3_p04,B1,B5,,,,,,,,,,,,,,,,,,not_started
,syn_agyw_01,3,syn_agyw_01_r3_p05,B3,B2,,,,,,,,,,,,,,,,,,not_started
,syn_agyw_01,3,syn_agyw_01_r3_p06,B4,B2,,,,,,,,,,,,,,,,,,not_started
,syn_agyw_01,3,syn_agyw_01_r3_p07,B5,B2,,,,,,,,,,,,,,,,,,not_started
,syn_agyw_01,3,syn_agyw_01_r3_p08,B3,B4,,,,,,,,,,,,,,,,,,not_started
,syn_agyw_01,3,syn_agyw_01_r3_p09,B3,B5,,,,,,,,,,,,,,,,,,not_started
,syn_agyw_01,3,syn_agyw_01_r3_p10,B5,B4,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,1,syn_candor_01_r1_p01,B2,B1,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,1,syn_candor_01_r1_p02,B3,B1,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,1,syn_candor_01_r1_p03,B4,B1,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,1,syn_candor_01_r1_p04,B5,B1,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,1,syn_candor_01_r1_p05,B2,B3,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,1,syn_candor_01_r1_p06,B4,B2,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,1,syn_candor_01_r1_p07,B2,B5,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,1,syn_candor_01_r1_p08,B3,B4,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,1,syn_candor_01_r1_p09,B3,B5,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,1,syn_candor_01_r1_p10,B4,B5,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,2,syn_candor_01_r2_p01,B1,B2,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,2,syn_candor_01_r2_p02,B3,B1,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,2,syn_candor_01_r2_p03,B1,B4,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,2,syn_candor_01_r2_p04,B5,B1,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,2,syn_candor_01_r2_p05,B3,B2,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,2,syn_candor_01_r2_p06,B2,B4,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,2,syn_candor_01_r2_p07,B2,B5,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,2,syn_candor_01_r2_p08,B4,B3,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,2,syn_candor_01_r2_p09,B3,B5,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,2,syn_candor_01_r2_p10,B5,B4,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,3,syn_candor_01_r3_p01,B2,B1,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,3,syn_candor_01_r3_p02,B1,B3,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,3,syn_candor_01_r3_p03,B4,B1,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,3,syn_candor_01_r3_p04,B5,B1,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,3,syn_candor_01_r3_p05,B3,B2,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,3,syn_candor_01_r3_p06,B2,B4,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,3,syn_candor_01_r3_p07,B2,B5,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,3,syn_candor_01_r3_p08,B3,B4,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,3,syn_candor_01_r3_p09,B3,B5,,,,,,,,,,,,,,,,,,not_started
,syn_candor_01,3,syn_candor_01_r3_p10,B4,B5,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,1,syn_dreaddit_01_r1_p01,B2,B1,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,1,syn_dreaddit_01_r1_p02,B3,B1,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,1,syn_dreaddit_01_r1_p03,B4,B1,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,1,syn_dreaddit_01_r1_p04,B1,B5,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,1,syn_dreaddit_01_r1_p05,B2,B3,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,1,syn_dreaddit_01_r1_p06,B2,B4,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,1,syn_dreaddit_01_r1_p07,B5,B2,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,1,syn_dreaddit_01_r1_p08,B4,B3,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,1,syn_dreaddit_01_r1_p09,B5,B3,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,1,syn_dreaddit_01_r1_p10,B4,B5,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,2,syn_dreaddit_01_r2_p01,B1,B2,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,2,syn_dreaddit_01_r2_p02,B1,B3,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,2,syn_dreaddit_01_r2_p03,B4,B1,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,2,syn_dreaddit_01_r2_p04,B1,B5,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,2,syn_dreaddit_01_r2_p05,B2,B3,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,2,syn_dreaddit_01_r2_p06,B2,B4,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,2,syn_dreaddit_01_r2_p07,B2,B5,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,2,syn_dreaddit_01_r2_p08,B4,B3,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,2,syn_dreaddit_01_r2_p09,B5,B3,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,2,syn_dreaddit_01_r2_p10,B5,B4,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,3,syn_dreaddit_01_r3_p01,B1,B2,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,3,syn_dreaddit_01_r3_p02,B3,B1,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,3,syn_dreaddit_01_r3_p03,B4,B1,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,3,syn_dreaddit_01_r3_p04,B5,B1,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,3,syn_dreaddit_01_r3_p05,B3,B2,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,3,syn_dreaddit_01_r3_p06,B2,B4,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,3,syn_dreaddit_01_r3_p07,B2,B5,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,3,syn_dreaddit_01_r3_p08,B4,B3,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,3,syn_dreaddit_01_r3_p09,B5,B3,,,,,,,,,,,,,,,,,,not_started
,syn_dreaddit_01,3,syn_dreaddit_01_r3_p10,B5,B4,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,1,syn_kodis_01_r1_p01,B2,B1,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,1,syn_kodis_01_r1_p02,B3,B1,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,1,syn_kodis_01_r1_p03,B1,B4,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,1,syn_kodis_01_r1_p04,B5,B1,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,1,syn_kodis_01_r1_p05,B2,B3,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,1,syn_kodis_01_r1_p06,B4,B2,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,1,syn_kodis_01_r1_p07,B5,B2,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,1,syn_kodis_01_r1_p08,B4,B3,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,1,syn_kodis_01_r1_p09,B3,B5,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,1,syn_kodis_01_r1_p10,B4,B5,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,2,syn_kodis_01_r2_p01,B1,B2,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,2,syn_kodis_01_r2_p02,B1,B3,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,2,syn_kodis_01_r2_p03,B1,B4,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,2,syn_kodis_01_r2_p04,B5,B1,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,2,syn_kodis_01_r2_p05,B2,B3,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,2,syn_kodis_01_r2_p06,B2,B4,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,2,syn_kodis_01_r2_p07,B2,B5,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,2,syn_kodis_01_r2_p08,B4,B3,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,2,syn_kodis_01_r2_p09,B3,B5,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,2,syn_kodis_01_r2_p10,B4,B5,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,3,syn_kodis_01_r3_p01,B2,B1,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,3,syn_kodis_01_r3_p02,B3,B1,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,3,syn_kodis_01_r3_p03,B4,B1,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,3,syn_kodis_01_r3_p04,B1,B5,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,3,syn_kodis_01_r3_p05,B3,B2,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,3,syn_kodis_01_r3_p06,B4,B2,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,3,syn_kodis_01_r3_p07,B2,B5,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,3,syn_kodis_01_r3_p08,B3,B4,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,3,syn_kodis_01_r3_p09,B3,B5,,,,,,,,,,,,,,,,,,not_started
,syn_kodis_01,3,syn_kodis_01_r3_p10,B5,B4,,,,,,,,,,,,,,,,,,not_started
