Dataset,Method,Model,TP/N,Recall (%),Credibility (%),Conformability (%),Experiment,Checkpoint,Status,Processed N,Planned N,Credibility binary N,Credibility unresolved N,Credibility technical N,Conformability binary N,Conformability unresolved N,Conformability technical N,Pending N,Quality denominator,Qualification
Dreaddit,All roles,Qwen3 8B,77/100,"77.0 [67.8, 84.2]",96,92,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
Dreaddit,All roles,Llama 3.1 8B,52/100,"52.0 [42.3, 61.5]",89,75,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
Dreaddit,All roles,Gemma 3 4B,89/100,"89.0 [81.4, 93.7]",95,91,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
Dreaddit,WarrantRoute,Qwen3 8B,99/100,"99.0 [97.0, 100.0]",79,79,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
Dreaddit,WarrantRoute,Llama 3.1 8B,68/100,"68.0 [59.0, 77.0]",51,50,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
Dreaddit,WarrantRoute,Gemma 3 4B,42/100,"42.0 [33.0, 52.0]",84,84,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
GoEmotion,Generalist,Qwen3 8B,79/100,"79.0 [70.0, 85.8]",53,49,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
GoEmotion,Generalist,Llama 3.1 8B,59/100,"59.0 [49.2, 68.1]",52,46,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
GoEmotion,Generalist,Gemma 3 4B,61/100,"61.0 [51.2, 70.0]",67,58,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
GoEmotion,Fixed role,Qwen3 8B,81/100,"81.0 [72.2, 87.5]",55,50,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
GoEmotion,Fixed role,Llama 3.1 8B,37/100,"37.0 [28.2, 46.8]",60,58,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
GoEmotion,Fixed role,Gemma 3 4B,79/100,"79.0 [70.0, 85.8]",72,64,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
GoEmotion,All roles,Qwen3 8B,91/100,"91.0 [83.8, 95.2]",70,53,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
GoEmotion,All roles,Llama 3.1 8B,77/100,"77.0 [67.8, 84.2]",59,48,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
GoEmotion,All roles,Gemma 3 4B,80/100,"80.0 [71.1, 86.7]",79,60,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
GoEmotion,WarrantRoute,Qwen3 8B,100/100,"100.0 [100.0, 100.0]",30,29,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
GoEmotion,WarrantRoute,Llama 3.1 8B,63/100,"63.0 [53.0, 72.0]",29,29,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
GoEmotion,WarrantRoute,Gemma 3 4B,47/100,"47.0 [37.0, 57.0]",86,86,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
CaChe,Generalist,Qwen3 8B,79/100,"79.0 [70.0, 85.8]",97,94,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
CaChe,Generalist,Llama 3.1 8B,27/100,"27.0 [19.3, 36.4]",89,87,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
CaChe,Generalist,Gemma 3 4B,57/100,"57.0 [47.2, 66.3]",98,97,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
CaChe,Fixed role,Qwen3 8B,76/100,"76.0 [66.8, 83.3]",97,96,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
CaChe,Fixed role,Llama 3.1 8B,30/100,"30.0 [21.9, 39.6]",94,92,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
CaChe,Fixed role,Gemma 3 4B,61/100,"61.0 [51.2, 70.0]",98,98,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
CaChe,All roles,Qwen3 8B,81/100,"81.0 [72.2, 87.5]",100,94,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
CaChe,All roles,Llama 3.1 8B,55/100,"55.0 [45.2, 64.4]",98,95,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
CaChe,All roles,Gemma 3 4B,71/100,"71.0 [61.5, 79.0]",100,99,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
CaChe,WarrantRoute,Qwen3 8B,100/100,100.0 [CI N/A],96,94,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
CaChe,WarrantRoute,Llama 3.1 8B,64/100,64.0 [CI N/A],64,63,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
CaChe,WarrantRoute,Gemma 3 4B,55/100,55.0 [CI N/A],97,97,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
ParlaMint-GB,Generalist,Qwen3 8B,75/100,"75.0 [65.7, 82.5]",94,91,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
ParlaMint-GB,Generalist,Llama 3.1 8B,24/100,"24.0 [16.7, 33.2]",89,88,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
ParlaMint-GB,Generalist,Gemma 3 4B,48/100,"48.0 [38.5, 57.7]",95,93,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
ParlaMint-GB,Fixed role,Qwen3 8B,67/100,"67.0 [57.3, 75.4]",89,86,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
ParlaMint-GB,Fixed role,Llama 3.1 8B,36/100,"36.0 [27.3, 45.8]",90,89,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
ParlaMint-GB,Fixed role,Gemma 3 4B,67/100,"67.0 [57.3, 75.4]",95,91,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
ParlaMint-GB,All roles,Qwen3 8B,81/100,"81.0 [72.2, 87.5]",99,89,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
ParlaMint-GB,All roles,Llama 3.1 8B,52/100,"52.0 [42.3, 61.5]",98,90,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
ParlaMint-GB,All roles,Gemma 3 4B,69/100,"69.0 [59.4, 77.2]",98,91,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
ParlaMint-GB,WarrantRoute,Qwen3 8B,100/100,"100.0 [100.0, 100.0]",79,72,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
ParlaMint-GB,WarrantRoute,Llama 3.1 8B,67/100,"67.0 [57.0, 77.1]",55,44,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
ParlaMint-GB,WarrantRoute,Gemma 3 4B,50/100,"50.0 [39.8, 60.4]",87,84,Historical Table 3 n100,,Historical recorded result,100,100,100,0,0,100,0,0,0,"100 binary judgments per metric, per historical protocol notes",Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
Dreaddit,Static seed control,Gemma 3 4B,N/A,N/A,N/A,N/A,ACE claim online v1,,Not run,0,80,0,0,0,0,0,0,80,Not measured; all cases pending,Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
Dreaddit,ACE-inspired online WarrantRoute,Gemma 3 4B,N/A,N/A,N/A,N/A,ACE claim online v1,,Not run,0,80,0,0,0,0,0,0,80,Not measured; all cases pending,Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
GoEmotions,Static seed control,Gemma 3 4B,N/A,N/A,N/A,N/A,ACE claim online v1,,Not run,0,80,0,0,0,0,0,0,80,Not measured; all cases pending,Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
GoEmotions,ACE-inspired online WarrantRoute,Gemma 3 4B,N/A,N/A,N/A,N/A,ACE claim online v1,,Not run,0,80,0,0,0,0,0,0,80,Not measured; all cases pending,Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
CaChe,Static seed control,Gemma 3 4B,N/A,N/A,N/A,N/A,ACE claim online v1,,Not run,0,80,0,0,0,0,0,0,80,Not measured; all cases pending,Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
CaChe,ACE-inspired online WarrantRoute,Gemma 3 4B,N/A,N/A,N/A,N/A,ACE claim online v1,,Not run,0,80,0,0,0,0,0,0,80,Not measured; all cases pending,Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
ParlaMint-GB,Static seed control,Gemma 3 4B,N/A,N/A,N/A,N/A,ACE claim online v1,,Not run,0,80,0,0,0,0,0,0,80,Not measured; all cases pending,Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
ParlaMint-GB,ACE-inspired online WarrantRoute,Gemma 3 4B,N/A,N/A,N/A,N/A,ACE claim online v1,,Not run,0,80,0,0,0,0,0,0,80,Not measured; all cases pending,Private working diagnostic; not manuscript-qualified; no cross-protocol ranking
