assignment_id,actor_id,actor_kind,rating_repetition,sequence,item_id,item_payload_sha256,interface_version,shared_rater_guide_version,shared_rater_guide_sha256,semantic_input_sha256,packet_id,output_id,corpus_id,evaluation_role
DJA_8ac56e8da3909bd6,charlie,human,1,11,DJI_c518be1584e33d8d,b88683794b3eeddf145958528d3b8a1a759bc019c03cee34f8c4cdd755f04db0,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,5f32b568ef8fb9cc16e5ed2668b23cb5e0faba762a9cb52d7650304772b82af4,DJP_c518be1584e33d8d,DJO_9d7b4444b46a1f70,synthetic_proxy,synthetic_qualification
DJA_0ef72053adef4c98,charlie,human,1,12,DJI_7869dc2eaa096dc9,3103d59093676cca7375067307adc40f17ebabd8dac24848409f28abbe95910a,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,1b9fb3bd7f041eed8e8bcc9bb74f6fd3d895c87a5949f348a70c14a838ab29fb,DJP_7869dc2eaa096dc9,DJO_00344a85090269c5,synthetic_proxy,synthetic_qualification
DJA_e3b71cc84ca861b8,charlie,human,1,13,DJI_645ad2ef137ddbff,7bcbe336f57e489ad949631a0acfc6d16ab79abf88d705042ef493c692fcb288,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,fbf50022b38a6020e2b5d6bbcad601bce51804096354e9bfff7dabc49c4dedc2,DJP_645ad2ef137ddbff,DJO_cb6bb7dc15ddd38f,synthetic_proxy,synthetic_qualification
DJA_2486cd4769f9ad5d,charlie,human,1,14,DJI_fd4cdb2f41c5dcc4,bb83a8d6055c619c8da6d237038fd6acc70e3b2a042c38e2d0f5a154de7e3a26,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,f3d9f497bb9090e41c1609d54678f22f2810274e4f1a954907c6d7b3af4a3590,DJP_fd4cdb2f41c5dcc4,DJO_61ebefa70162535f,synthetic_proxy,synthetic_qualification
DJA_69ccf9b508c87b3e,charlie,human,1,15,DJI_7e9c6d85a7e38f68,dea26412000d8b6e833963da880f93ebe266b7c30f9aa620429caae0d31e43aa,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,82b28b2fe9aa5a02761d00dd6afbeb20170a0fb5997e475e782efe95022e1803,DJP_7e9c6d85a7e38f68,DJO_71e8bc21c63a537f,synthetic_proxy,synthetic_qualification
DJA_3c58e6ce9bb9d3ef,charlie,human,1,16,DJI_3885e6b0f98d6619,0a6f6da8f87c3f550965df426176ffb82f0027978332c8193c3ed89baa67ec95,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,c5d7afd43548e5a3842694f65d50869520a24d6b80e24ebb23834fd14f037433,DJP_3885e6b0f98d6619,DJO_b6bdbf388f2bbe2b,synthetic_proxy,synthetic_qualification
DJA_298db39bdcc0c00e,charlie,human,1,17,DJI_da76e5b5070c44c4,b23f8c83c87e7157ddee53b0831b36373c881f6cadf6a186630b645a975520bc,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,952fbc33da3d02b73da0bda6ff73610afa845fdb141fa95c10ae51d903dd0e96,DJP_da76e5b5070c44c4,DJO_3791b9b51e32c835,synthetic_proxy,synthetic_qualification
DJA_f84a2e95b8ec07e4,charlie,human,1,18,DJI_70bfbcedae39ee6c,e2b67cdd262322d41e3df72ca0992040e7088cf92be9bb302b246b4fa80fbee7,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,7c8632f432fd0683ada324798cec9cba7757fa429d0b3a52803abb76e5560623,DJP_70bfbcedae39ee6c,DJO_cd4f80436a5bd6a2,synthetic_proxy,synthetic_qualification
DJA_7c80e664139bbd6e,charlie,human,1,19,DJI_a27b6c981663f393,cfe581515b1b4f902d768286200be0f39e8046814a098570b60c9f57665c69b5,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,4a5ab339d1f2c6d4e71a0a0e2da62ee74b6c70498a230d98907cad75c961f461,DJP_a27b6c981663f393,DJO_efb475f57b0decfa,synthetic_proxy,synthetic_qualification
DJA_334be1685241adef,charlie,human,1,20,DJI_c6509bc584251b91,2c9d133493b9be792a5916782bea84dd6951f1347cedb667b68f9f5446b774d4,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,d70a3dea49c26de7e8b2d5514f79536a0c50f0bba58abf145565e743bcbff863,DJP_c6509bc584251b91,DJO_dc8ffa32ecf14eb2,synthetic_proxy,synthetic_qualification
DJA_4e212f499b19d879,charlie,human,1,21,DJI_2e5692df78c6fe25,440af8916a93a574851c7e93aaca8651a2a3057a6a6dfd618d6fbd0756d4765d,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,13bc2a19d52d5b24be8a3ff7380e3312b20301c6342afcb544ce11294fc12820,DJP_2e5692df78c6fe25,DJO_a37d8df86ec6b850,synthetic_proxy,synthetic_qualification
DJA_d639d434ad8c3684,charlie,human,1,22,DJI_aee57d7a673ff2a7,2b0314d6c153ed5c2be963974244c40110ce99354a773f19677185699cecc5cd,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,8d713a0859bc75853f863e09932d7ee33d1abd97df74655d6833295002449c1e,DJP_aee57d7a673ff2a7,DJO_1712dfc3bdf0f54e,synthetic_proxy,synthetic_qualification
DJA_f7d5324bad63c3b3,charlie,human,1,23,DJI_289f59a69f962879,40f87c57f6098178c7cfb23682705ce6092a184f3685243403ed7e94b1ac0b2b,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,96cdb15926b87e031f4cdde631f28d6a413979aef29b0a9e82dc56d320af6cf9,DJP_289f59a69f962879,DJO_bb56fe19f2708929,synthetic_proxy,synthetic_qualification
DJA_16f6786134cc7e02,charlie,human,1,24,DJI_1d9064b8b36d3dee,1e8f7d6869437f8386103d3d4a5cbc049d063a2e8cfc1f28ceda85140c5c5946,direction-j-shared-interface-v1,direction-j-rater-guide-v1,ab0e8dfb1992927e8b2202353da55eba47f45a691222275c3feab42d53a46b4f,a9268c744f05fc24f396adc5c4af00736f71a73f03e0f40dabdc3efebbecbd52,DJP_1d9064b8b36d3dee,DJO_0219c7c991880474,synthetic_proxy,synthetic_qualification
